Timestamp,BR,RtoR
03/04/2023 10:15:49.324,802,1.519
03/04/2023 10:15:49.380,802,1.519
03/04/2023 10:15:49.436,931,1.519
03/04/2023 10:15:49.492,1669,1.519
03/04/2023 10:15:49.548,1743,-3.676
03/04/2023 10:15:49.604,1774,-3.676
03/04/2023 10:15:49.660,1773,-3.676
03/04/2023 10:15:49.716,1771,-3.676
03/04/2023 10:15:49.772,1765,-3.676
03/04/2023 10:15:49.828,1762,-3.676
03/04/2023 10:15:49.884,1756,-3.676
03/04/2023 10:15:49.940,1753,-3.676
03/04/2023 10:15:49.996,1753,-3.676
03/04/2023 10:15:50.052,1752,-3.676
03/04/2023 10:15:50.108,1754,-3.676
03/04/2023 10:15:50.164,1756,-3.676
03/04/2023 10:15:50.220,1756,-3.676
03/04/2023 10:15:50.276,1754,-3.676
03/04/2023 10:15:50.332,1752,-3.676
03/04/2023 10:15:50.388,1750,-3.676
03/04/2023 10:15:50.444,1747,-3.676
03/04/2023 10:15:50.500,1745,-3.676
03/04/2023 10:15:50.556,1742,-3.676
03/04/2023 10:15:50.612,1737,-3.676
03/04/2023 10:15:50.668,1734,-3.676
03/04/2023 10:15:50.724,1728,-3.676
03/04/2023 10:15:50.780,1725,-3.676
03/04/2023 10:15:50.836,1722,-3.676
03/04/2023 10:15:50.892,1717,-3.676
03/04/2023 10:15:50.948,1715,-3.676
03/04/2023 10:15:51.004,1711,1.392
03/04/2023 10:15:51.060,1709,1.392
03/04/2023 10:15:51.116,1707,1.392
03/04/2023 10:15:51.172,1703,1.392
03/04/2023 10:15:51.228,1701,1.392
03/04/2023 10:15:51.284,1696,1.392
03/04/2023 10:15:51.340,1694,1.392
03/04/2023 10:15:51.396,1692,1.392
03/04/2023 10:15:51.452,1689,1.392
03/04/2023 10:15:51.508,1688,1.392
03/04/2023 10:15:51.564,1686,1.392
03/04/2023 10:15:51.620,1685,1.392
03/04/2023 10:15:51.676,1684,1.392
03/04/2023 10:15:51.732,1683,1.392
03/04/2023 10:15:51.788,1682,-0.749
03/04/2023 10:15:51.844,1678,-0.749
03/04/2023 10:15:51.900,1676,-0.749
03/04/2023 10:15:51.956,1674,-0.749
03/04/2023 10:15:52.012,1670,-0.749
03/04/2023 10:15:52.068,1668,-0.749
03/04/2023 10:15:52.124,1665,-0.749
03/04/2023 10:15:52.180,1664,-0.749
03/04/2023 10:15:52.236,1663,-0.749
03/04/2023 10:15:52.292,1662,-0.749
03/04/2023 10:15:52.348,1662,-0.749
03/04/2023 10:15:52.404,1662,-0.749
03/04/2023 10:15:52.460,1662,-0.749
03/04/2023 10:15:52.516,1661,0.839
03/04/2023 10:15:52.572,1660,0.839
03/04/2023 10:15:52.628,1660,0.839
03/04/2023 10:15:52.684,1661,0.839
03/04/2023 10:15:52.740,1661,0.839
03/04/2023 10:15:52.796,1661,0.839
03/04/2023 10:15:52.852,1661,0.839
