Timestamp,HR,BR,Temp,Posture,Activity,Acceleration,Battery,BRAmplitude,ECGAmplitude,ECGNoise,XMin,XPeak,YMin,YPeak,ZMin,ZPeak
03/04/2023 10:16:39.428,75,31.9,-3276.8,-159,0.02,0.04,3.918,64797.000,0.000520,0.000140,0.81,0.90,0.21,0.28,0.21,0.25
03/04/2023 10:16:40.428,75,32.8,-3276.8,-159,0.02,0.07,3.918,64765.000,0.000520,0.000120,0.81,0.87,0.22,0.33,0.21,0.26
03/04/2023 10:16:41.428,76,33.5,-3276.8,-159,0.01,0.04,3.918,64952.000,0.000520,0.000140,0.83,0.90,0.22,0.30,0.21,0.26
03/04/2023 10:16:42.428,76,33.9,-3276.8,-158,0.01,0.03,3.918,65100.000,0.000520,0.000080,0.81,0.89,0.26,0.30,0.21,0.25
03/04/2023 10:16:43.428,75,34.1,-3276.8,-158,0.02,0.04,3.918,65211.000,0.000520,0.000100,0.83,0.89,0.25,0.32,0.19,0.25
03/04/2023 10:16:44.428,74,34.2,-3276.8,-158,0.02,0.09,3.918,65294.000,0.000900,0.000100,0.81,0.90,0.26,0.32,0.19,0.40
03/04/2023 10:16:45.428,74,34.3,-3276.8,-165,0.18,0.24,3.918,65355.000,0.000900,0.000240,0.84,1.00,0.00,0.27,0.06,0.22
03/04/2023 10:16:46.428,74,31.4,-3276.8,-177,0.30,0.40,3.918,65401.000,0.000860,0.000900,0.87,0.97,-0.20,-0.01,-0.10,0.10
03/04/2023 10:16:47.428,74,32.1,-3276.8,-180,0.08,0.25,3.918,65435.000,0.000860,0.000620,0.87,0.97,-0.19,0.03,-0.09,0.01
03/04/2023 10:16:48.428,74,32.6,-3276.8,178,0.05,0.08,3.918,63011.000,0.000860,0.000600,0.90,0.96,-0.04,0.01,-0.09,-0.03
03/04/2023 10:16:49.428,74,32.9,-3276.8,178,0.02,0.06,3.918,63655.000,0.000860,0.000480,0.90,0.96,-0.06,0.01,-0.08,0.01
03/04/2023 10:16:50.428,74,32.0,-3276.8,177,0.03,0.07,3.918,63525.000,0.000820,0.000380,0.89,0.96,-0.03,0.08,-0.10,-0.01
03/04/2023 10:16:51.428,74,30.3,-3276.8,177,0.10,0.18,3.918,64038.000,0.000820,0.000280,0.89,0.97,-0.19,0.08,-0.08,0.08
03/04/2023 10:16:52.428,74,28.9,-3276.8,175,0.04,0.10,3.918,64136.000,0.000820,0.000320,0.86,0.96,-0.18,0.00,-0.07,0.00
03/04/2023 10:16:53.428,74,27.9,-3276.8,174,0.03,0.07,3.918,60278.000,0.000820,0.000260,0.89,0.97,-0.15,-0.03,-0.08,-0.01
03/04/2023 10:16:54.428,73,27.4,-3276.8,172,0.04,0.08,3.918,59799.000,0.000800,0.000180,0.86,0.95,-0.16,-0.08,-0.10,-0.03
03/04/2023 10:16:55.428,73,29.7,-3276.8,171,0.03,0.04,3.917,61056.000,0.000800,0.000160,0.89,0.96,-0.18,-0.09,-0.09,-0.03
03/04/2023 10:16:56.428,72,30.7,-3276.8,170,0.02,0.04,3.917,61683.000,0.000780,0.000140,0.87,0.96,-0.19,-0.14,-0.09,-0.03
03/04/2023 10:16:57.428,71,30.8,-3276.8,170,0.01,0.03,3.917,61735.000,0.000780,0.000200,0.87,0.96,-0.19,-0.13,-0.07,-0.02
